,Frequency,TotalPf,b_phase_current,b_phase_pf,b_phase_voltage,lag_only_reactive_energy,lead_only_reactive_energy,r_phase_current,r_phase_pf,r_phase_voltage,meter serial_no,timestamp,total_active_power,total_apparent_energy,total_apparent_power,total_reactive_power,total_real_energy,y_phase_current,y_phase_pf,y_phase_voltage
0,50.1,0.9033,12.54,0.9,245.733,1291.68,63.95,0.58,1,248.49,600002,01-10-2018 00:00,3066.28,7941.59,3356.64,1366.93,7578.66,0.46,0.89,245.204
1,50.1,0.9016,12.565,0.9,245.784,1291.69,63.95,0.58,1,249.279,600002,01-10-2018 00:00,3075.12,7941.62,3365.5,1368.75,7578.69,0.46,0.889,245.265
2,50.1,0.9257,12.616,0.8963,246.29,1291.7,63.95,6.731,0.9902,247.243,600002,01-10-2018 00:01,4608.2,7941.66,4840.4,1461.13,7578.72,0.46,0.8891,245.536
3,50.1,0.93,12.616,0.8972,246.411,1291.71,63.95,7.251,1,247.15,600002,01-10-2018 00:01,4766.26,7941.7,4969.53,1408.13,7578.76,0.46,0.8876,245.096
4,50.1,0.93,12.61,0.8955,246.489,1291.72,63.95,7.173,1,247.283,600002,01-10-2018 00:02,4745.28,7941.74,4949.64,1409.43,7578.8,0.46,0.8892,244.9
5,50.1,0.9605,6.391,0.9424,248.556,1291.73,63.95,7.23,1,246.503,600002,01-10-2018 00:02,3491.86,7941.78,3593.73,730.463,7578.83,0.46,0.8884,244.857
6,50.1,0.99,1.32,1,249.765,1291.73,63.95,7.267,1,245.821,600002,01-10-2018 00:03,2287.66,7941.8,2287.66,50.998,7578.85,0.46,0.8881,244.906
7,50.01,0.99,1.32,1,249.796,1291.73,63.95,7.305,1,245.131,600002,01-10-2018 00:03,2290.66,7941.82,2290.66,50.462,7578.87,0.46,0.8889,244.85
8,50.1,0.99,1.32,1,249.969,1291.73,63.95,7.297,1,245.204,600002,01-10-2018 00:04,2288.64,7941.84,2288.64,50.569,7578.89,0.46,0.89,244.982
9,50.09,0.99,1.32,1,250.305,1291.73,63.95,7.31,1,245.262,600002,01-10-2018 00:04,2293.35,7941.85,2293.35,50.425,7578.91,0.46,0.89,244.939
10,50,0.99,1.32,1,250.376,1291.73,63.95,7.313,1,245.289,600002,01-10-2018 00:05,2293.85,7941.87,2293.85,50.495,7578.93,0.46,0.89,244.718
11,50,0.99,1.314,1,250.363,1291.73,63.95,7.302,1,245.138,600002,01-10-2018 00:05,2289.4,7941.89,2289.4,50.464,7578.95,0.46,0.8886,244.75
12,50,0.99,1.323,1,250.133,1291.73,63.95,7.27,1,245.362,600002,01-10-2018 00:06,2287.35,7941.91,2287.35,51.783,7578.97,0.46,0.8861,245.461
13,50,0.9645,6.051,0.9558,248.269,1291.74,63.95,7.152,1,246.436,600002,01-10-2018 00:06,3290.33,7941.94,3378.33,613.196,7578.99,0.46,0.8856,245.317
14,50,0.9355,12.917,0.9004,245.975,1291.75,63.95,7.086,1,247.425,600002,01-10-2018 00:07,4802.85,7941.98,5000.5,1393.07,7579.03,0.46,0.8868,245.461
15,50,0.9057,12.554,0.8977,245.203,1291.76,63.95,1.76,1,249.382,600002,01-10-2018 00:07,3508.2,7942.01,3777,1382.4,7579.06,0.46,0.885,245.082
16,50,0.9,12.552,0.9,244.83,1291.77,63.95,0.43,1,249.73,600002,01-10-2018 00:08,3019,7942.04,3309.8,1357.93,7579.09,0.46,0.8884,244.99
17,50,0.9034,12.574,0.9,244.761,1291.78,63.95,0.43,1,249.518,600002,01-10-2018 00:08,3024.78,7942.07,3313,1353,7579.11,0.46,0.8876,244.955
18,50,0.905,12.596,0.9,244.928,1291.79,63.95,0.43,1,249.628,600002,01-10-2018 00:09,3031.92,7942.09,3320,1353.69,7579.13,0.46,0.8865,245.165
19,50,0.9022,12.553,0.9,245.012,1291.8,63.95,0.43,1,249.289,600002,01-10-2018 00:09,3019.54,7942.12,3311.3,1360.54,7579.16,0.46,0.8858,245.413
20,50,0.9103,11.111,0.9132,245.796,1291.82,63.95,0.43,1,248.743,600002,01-10-2018 00:10,2703.13,7942.15,2959.86,1196.8,7579.18,0.46,0.8863,245.271
21,50,0.9764,1.341,1,249.43,1291.82,63.95,5.232,0.9896,245.751,600002,01-10-2018 00:10,1744.06,7942.16,1760.13,114.796,7579.2,0.46,0.8843,245.536
22,49.86,0.99,1.327,1,249.743,1291.82,63.95,7.131,1,244.804,600002,01-10-2018 00:11,2240.84,7942.18,2240.84,52.152,7579.22,0.46,0.8828,245.22
23,50,0.99,1.32,1,249.79,1291.82,63.95,7.036,1,244.831,600002,01-10-2018 00:11,2213.33,7942.2,2213.33,51.731,7579.23,0.46,0.885,245.27
24,50,0.99,1.32,1,250.153,1291.82,63.95,7.016,1,245.683,600002,01-10-2018 00:12,2217.85,7942.22,2217.85,51.355,7579.25,0.46,0.8878,245.382
25,50,0.99,1.32,1,250.34,1291.82,63.95,7.058,1,245.433,600002,01-10-2018 00:12,2225.85,7942.24,2225.85,51.711,7579.27,0.46,0.8854,245.39
26,50,0.99,1.319,1,250.037,1291.82,63.95,7.08,1,245.25,600002,01-10-2018 00:13,2229.4,7942.26,2229.4,52.198,7579.29,0.46,0.8843,245.584
27,50,0.99,1.273,1,250.053,1291.82,63.95,7.104,1,245.283,600002,01-10-2018 00:13,2223.93,7942.27,2223.93,52.21,7579.31,0.46,0.8854,245.461
28,50,0.99,1.14,1,250.017,1291.82,63.95,7.149,1,245.284,600002,01-10-2018 00:14,2200.06,7942.29,2200.06,51.864,7579.33,0.46,0.8849,245.629
29,50,0.9503,9.858,0.9291,247.11,1291.83,63.95,7.097,1,246.663,600002,01-10-2018 00:14,4129.93,7942.33,4273.79,1034.46,7579.36,0.46,0.8843,245.89
30,50,0.9083,12.491,0.8924,245.577,1291.84,63.95,2.978,1,248.99,600002,01-10-2018 00:15,3637.86,7942.36,3909.8,1403.46,7579.39,0.46,0.8843,245.717
31,50,0.8944,12.386,0.8906,245.317,1291.85,63.95,0.43,1,249.362,600002,01-10-2018 00:15,2959.06,7942.39,3274.06,1402.2,7579.42,0.46,0.8811,245.624
32,50,0.8992,12.419,0.89,245.42,1291.86,63.95,0.43,1,249.097,600002,01-10-2018 00:16,2969,7942.42,3281.46,1398.69,7579.44,0.46,0.882,245.45
33,50,0.8989,12.438,0.8905,245.457,1291.87,63.95,0.43,1,248.991,600002,01-10-2018 00:16,2975.66,7942.44,3287.4,1398.46,7579.46,0.46,0.8843,245.582
34,50,0.97,1.14,1,249.276,1291.88,63.95,0.43,1,247.418,600002,01-10-2018 00:17,689.139,7942.45,712.996,147.14,7579.47,0.46,0.8883,245.256
35,50,0.97,1.14,1,249.19,1291.88,63.95,0.43,1,247.347,600002,01-10-2018 00:17,511.855,7942.46,513.855,50.784,7579.47,0.46,0.8889,245.111
36,50,0.97,1.14,1,249.039,1291.88,63.95,0.43,1,247.79,600002,01-10-2018 00:18,511.354,7942.46,513.354,50.855,7579.48,0.46,0.89,244.854
37,50,0.9823,1.14,1,249.616,1291.88,63.95,6.999,0.9896,245.784,600002,01-10-2018 00:18,2150.8,7942.48,2164,104.864,7579.5,0.46,0.8863,245.27
38,50,0.99,1.14,1,250.02,1291.88,63.95,7.14,1,245.82,600002,01-10-2018 00:19,2200.84,7942.49,2200.84,51.382,7579.52,0.46,0.8867,245.321
39,50,0.99,1.14,1,249.915,1291.88,63.95,7.015,1,245.739,600002,01-10-2018 00:19,2170.18,7942.51,2170.18,51.62,7579.53,0.46,0.8872,245.153
40,50,0.99,1.14,1,250.304,1291.88,63.95,7.044,1,245.832,600002,01-10-2018 00:20,2178.35,7942.53,2178.35,50.925,7579.55,0.46,0.89,244.898
41,50,0.9613,7.593,0.9474,248.005,1291.88,63.95,7.091,1,246.104,600002,01-10-2018 00:20,3560.69,7942.56,3677.69,800.075,7579.58,0.46,0.8859,244.897
42,50,0.9347,12.473,0.9018,243.953,1291.9,63.95,7.161,1,243.796,600002,01-10-2018 00:21,4670.35,7942.6,4857.5,1337.21,7579.62,0.45,0.8933,242.683
43,50,0.93,12.266,0.899,243.932,1291.91,63.95,7.224,1,243.24,600002,01-10-2018 00:21,4612.28,7942.64,4803.71,1344.64,7579.66,0.45,0.8967,242.183
44,50,0.94,12.202,0.9076,242.54,1291.92,63.95,7.265,1,241.891,600002,01-10-2018 00:22,4615.78,7942.69,4783.64,1258.07,7579.7,0.45,0.9012,241.233
45,50,0.9519,9.221,0.9339,243.197,1291.93,63.95,6.208,1,241.924,600002,01-10-2018 00:22,3703.06,7942.72,3823.46,922.862,7579.73,0.45,0.9017,240.924
46,50,0.9789,1.13,1,245.018,1291.93,63.95,0.44,1,242.897,600002,01-10-2018 00:23,500.856,7942.72,502.353,44.71,7579.73,0.45,0.9068,240.619
47,50,0.9756,1.13,1,244.929,1291.93,63.95,0.44,1,242.909,600002,01-10-2018 00:23,500.864,7942.73,502.664,45.33,7579.74,0.45,0.9018,240.664
48,50,0.9777,1.126,1,244.61,1291.93,63.95,0.44,1,243.323,600002,01-10-2018 00:24,500.198,7942.73,501.93,44.795,7579.74,0.45,0.905,240.53
49,50,0.98,1.13,1,244.591,1291.93,63.95,0.44,1,243.677,600002,01-10-2018 00:24,500.73,7942.74,502.395,44.596,7579.74,0.449,0.9057,240.57
50,50,0.9776,1.13,1,244.547,1291.93,63.95,0.44,1,243.704,600002,01-10-2018 00:25,500.496,7942.74,502.353,45.283,7579.75,0.449,0.9018,240.504
51,50,0.9782,1.13,1,244.858,1291.93,63.95,0.44,1,243.635,600002,01-10-2018 00:25,500.151,7942.74,502.151,45.228,7579.75,0.442,0.9007,240.575
52,50,0.9584,6.559,0.9678,243.011,1291.93,63.95,0.44,1,244.044,600002,01-10-2018 00:26,1719.73,7942.76,1811.93,547.397,7579.77,0.445,0.9023,240.59
53,50,0.9361,12.32,0.9183,241.697,1291.94,63.95,5.625,0.9889,242.776,600002,01-10-2018 00:26,4245.92,7942.8,4433.21,1251.35,7579.8,0.45,0.9004,241.126
54,50,0.9418,12.116,0.9124,241.696,1291.95,63.95,7.263,1,242.196,600002,01-10-2018 00:27,4609.53,7942.84,4763.33,1201.8,7579.84,0.45,0.9003,241.035
55,50,0.95,12.22,0.92,241.426,1291.96,63.95,7.179,1,242.403,600002,01-10-2018 00:27,4622.5,7942.87,4770.35,1180.5,7579.88,0.45,0.9033,240.875
56,50,0.95,12.206,0.92,241.402,1291.97,63.95,7.225,1,241.546,600002,01-10-2018 00:28,4623.25,7942.92,4772.31,1185.62,7579.92,0.45,0.9,240.922
57,50,0.9867,1.919,0.994,244.94,1291.97,63.95,7.225,1,240.268,600002,01-10-2018 00:28,2340.93,7942.94,2351.57,126.068,7579.94,0.45,0.9033,240.768
58,50,0.99,1.13,1,245.311,1291.97,63.95,7.236,1,240.139,600002,01-10-2018 00:29,2167.85,7942.95,2167.85,44.924,7579.95,0.45,0.9039,240.818
59,50,0.99,1.13,1,245.34,1291.97,63.95,7.273,1,239.953,600002,01-10-2018 00:29,2175.31,7942.97,2175.31,45.809,7579.97,0.447,0.9006,240.896
60,50,0.99,1.13,1,246.011,1291.97,63.95,7.273,1,240.568,600002,01-10-2018 00:30,2183.14,7942.99,2183.14,45.64,7579.99,0.45,0.9012,240.854
61,50,0.99,1.13,1,245.99,1291.97,63.95,7.237,1,240.938,600002,01-10-2018 00:30,2178.26,7943.01,2178.26,44.864,7580.01,0.45,0.9029,240.925
62,50,0.9885,1.13,1,245.864,1291.97,63.95,6.362,1,241.31,600002,01-10-2018 00:31,2034.86,7943.03,2034.93,44.998,7580.03,0.45,0.9024,240.71
63,50,0.98,1.13,1,245.333,1291.98,63.95,0.588,1,242.833,600002,01-10-2018 00:31,545.781,7943.03,546.781,44.856,7580.03,0.446,0.9024,240.369
64,50,0.98,1.13,1,245.539,1291.98,63.95,0.59,1,242.597,600002,01-10-2018 00:32,545.567,7943.04,546.567,44.424,7580.04,0.441,0.9047,240.283
65,50,0.98,1.13,1,245.543,1291.98,63.95,0.59,1,243.41,600002,01-10-2018 00:32,546.664,7943.04,547.664,44.796,7580.04,0.447,0.9037,240.358
66,50,0.9631,5.021,0.9751,244.043,1291.98,63.95,0.585,1,244.11,600002,01-10-2018 00:33,1246.46,7943.05,1302.13,342.997,7580.05,0.446,0.901,240.523
67,50,0.9258,12.445,0.9224,241.643,1291.99,63.95,0.58,1,245.003,600002,01-10-2018 00:33,3067.46,7943.08,3281.4,1165.66,7580.07,0.45,0.9036,240.971
68,50,0.92,12.062,0.9107,241.813,1292,63.95,0.58,1,244.69,600002,01-10-2018 00:34,2948.14,7943.11,3185.78,1208.57,7580.1,0.45,0.9039,241.075
69,50,0.92,12.175,0.92,241.924,1292.01,63.95,0.581,1,244.397,600002,01-10-2018 00:34,2989.73,7943.13,3217.33,1190.2,7580.13,0.45,0.903,241.216
70,50,0.9244,12.146,0.9192,241.782,1292.02,63.95,2.921,0.989,243.552,600002,01-10-2018 00:35,3523.69,7943.16,3745.46,1248.84,7580.16,0.45,0.9006,241.274
71,50,0.9713,5.505,0.9613,244.168,1292.02,63.95,7.488,1,241.252,600002,01-10-2018 00:35,3210.84,7943.19,3270.61,510.689,7580.18,0.45,0.8989,241.297
72,50,0.99,1.13,1,245.638,1292.02,63.95,7.384,1,240.79,600002,01-10-2018 00:36,2218.06,7943.21,2218.06,45.931,7580.2,0.45,0.9,241.21
73,50,0.99,1.13,1,245.856,1292.02,63.95,7.322,1,240.569,600002,01-10-2018 00:36,2202.46,7943.23,2202.46,46.196,7580.22,0.45,0.9009,241.29
74,50,0.99,1.13,1,246.098,1292.03,63.95,7.389,1,239.975,600002,01-10-2018 00:37,2214.5,7943.25,2214.5,45.998,7580.24,0.45,0.9,241.433
